City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,East London,ZA,-33.0153,27.9116,54.48,57,4,7.36,clear sky
1,Qaanaaq,GL,77.484,-69.3632,32.56,82,55,1.83,broken clouds
2,Vaini,TO,-21.2,-175.2,75.36,73,40,2.3,scattered clouds
3,Yellowknife,CA,62.456,-114.3525,63.12,63,40,4.61,scattered clouds
4,Hilo,US,19.7297,-155.09,86.29,63,1,11.5,clear sky
5,Port Alfred,ZA,-33.5906,26.891,54.45,71,1,8.9,clear sky
6,Katsuura,JP,35.1333,140.3,71.71,82,95,13.04,overcast clouds
7,Constitucion,CL,-35.3333,-72.4167,54.63,86,100,9.86,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,75.27,77,75,13.47,broken clouds
9,Diego De Almagro,CL,-26.3667,-70.05,57.0,70,0,1.28,clear sky
10,Sao Sebastiao,BR,-23.76,-45.4097,71.31,92,22,7.38,few clouds
11,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.56,82,1,10.36,clear sky
12,Bluff,NZ,-46.6,168.3333,49.8,69,100,17.81,overcast clouds
13,Purranque,CL,-40.9167,-73.1667,45.73,95,30,2.71,scattered clouds
14,New Norfolk,AU,-42.7826,147.0587,50.92,64,100,3.0,overcast clouds
15,Poso,ID,-1.3959,120.7524,83.16,70,55,3.51,broken clouds
16,Ushuaia,AR,-54.8,-68.3,31.66,86,40,5.75,scattered clouds
17,Ponferrada,ES,42.5466,-6.5962,55.08,87,1,1.01,clear sky
18,Praia Da Vitoria,PT,38.7333,-27.0667,64.76,82,20,4.81,few clouds
19,Port Lincoln,AU,-34.7333,135.8667,61.39,77,92,15.21,overcast clouds
20,Auki,SB,-8.7676,160.7034,85.08,66,96,2.06,overcast clouds
21,Pangnirtung,CA,66.1451,-65.7125,35.53,86,100,5.23,overcast clouds
22,Russkaya Polyana,UA,49.417,31.9201,51.93,92,73,7.09,broken clouds
23,Port Elizabeth,ZA,-33.918,25.5701,48.49,87,0,8.05,clear sky
24,Portland,US,45.5234,-122.6762,80.67,38,75,1.01,broken clouds
25,Mezen,RU,65.8522,44.24,56.95,68,13,5.97,few clouds
26,Nanchang,CN,28.6833,115.8833,71.33,75,13,5.35,few clouds
